title,context,question,answer_text,answer_start
Camille Saint-Saëns,"Untuk penghasilannya, Saint-Saëns bermain orgel di berbagai gereja di Paris, dengan tugas pertamanya di Saint-Merri di daerah Beaubourg[1]. Pada 1857, ia menggantikan Lefébure-Wely pada posisinya sebagai pemain orgel di Église de la Madeleine, jabatan yang dipegangnya hingga 1877. Improvisasi mingguannya mengejutkan publik Paris dan menyebabkan Liszt menyatakan pada 1866 bahwa Saint-Saëns adalah pemain orgel terbesar di dunia.",Apakah pekerjaan pertama Charles-Camille Saint-Saëns?,bermain orgel di berbagai gereja di Paris,34
Globalisasi,"Menurut asal katanya, kata ""globalisasi"" diambil dari kata global, yang maknanya ialah universal. Achmad Suparman menyatakan Globalisasi adalah suatu proses menjadikan sesuatu (benda atau perilaku) sebagai ciri dari setiap individu di dunia ini tanpa dibatasi oleh wilayah. Globalisasi belum memiliki definisi yang mapan, kecuali sekadar definisi kerja (working definition), sehingga bergantung dari sisi mana orang melihatnya. Ada yang memandangnya sebagai suatu proses sosial, atau proses sejarah, atau proses alamiah yang akan membawa seluruh bangsa dan negara di dunia makin terikat satu sama lain, mewujudkan satu tatanan kehidupan baru atau kesatuan ko-eksistensi dengan menyingkirkan batas-batas geografis, ekonomi dan budaya masyarakat.",dari manakah kata globalisasi berasal?,global,59
Pemilihan umum legislatif Indonesia 1955," Pemilihan Umum Indonesia 1955 adalah pemilihan umum pertama di Indonesia yang diadakan pada tahun 1955. Pemilu ini sering dikatakan sebagai pemilu Indonesia paling demokratis. Pemilu tahun 1955 ini dilaksanakan saat keamanan negara masih kurang kondusif; beberapa daerah dirundung kekacauan oleh DI/TII (Darul Islam/Tentara Islam Indonesia) khususnya pimpinan Kartosuwiryo. Dalam keadaan seperti ini, anggota angkatan bersenjata dan polisi juga memilih. Mereka yang bertugas di daerah rawan digilir datang ke tempat pemilihan. Pemilu akhirnya pun berlangsung aman. Pemilu ini bertujuan memilih anggota-anggota DPR dan Konstituante.",Kpan pemilu pertama dilakukan di Indonesia?,1955,99
The Beatles,"Film kedua The Beatles, Help!, yang kembali disutradarai oleh Lester, dirilis bulan Juli. Disebutkan sebagai film yang menampilkan lelucon ala Bond, para personel The Beatles maupun kritikus berpendapat masing-masing. McCartney mengatakan: ""Help! adalah film yang bagus, namun bukan film kami – kami cuma bintang tamu. Filmnya menyenangkan, tetapi sebenarnya, untuk ide sebuah film, tampak kurang benar"". (""Help! was great but it wasn't our film—we were sort of guest stars. It was fun, but basically, as an idea for a film, it was a bit wrong."") Lagu-lagu latar didominasi oleh Lennon, yang menjadi vokalis utama dan penulis sebagian besar lirik, termasuk lagu utama yang diikutsertakan Help dan Ticket to Ride . Album yang juga berjudul sama, Help! menjadi LP studio ke-5, berisi campuran material asli dan rekaman terdahulu. Karakteristik lainnya ada overdub yang semakin meningkat dan permainan alat musik klasik, seperti kuartet alat musik gesek dalam lagu balada Yesterday. Dikomposisikan oleh McCartney, lagu Yesterday sampai kini menjadi lagu yang paling banyak dinyanyikan ulang. Lagu Dizzy Miss Lizzy, merupakan lagu penutup.",Siapakah nama vokalis The Beatles?,Lennon,579
Sistem Penamaan Domain,"Paul Mockapetris menemukan DNS pada tahun 1983; spesifikasi asli muncul di RFC 882 dan 883. Tahun 1987, penerbitan  dan  membuat update terhadap spesifikasi DNS. Hal ini membuat  dan  tidak berlaku lagi. Beberapa RFC terkini telah memproposikan beberapa tambahan dari protokol inti DNS.",Kapan Sistem Penamaan Domain di Internet digunakan?,1983,42
Gambia,"Bahasa Inggris adalah bahasa resmi dari Gambia. Bahasa lainnya adalah Mandinka, Wolof, Fula, Serer, Krio, Jola dan bahasa daerah adat lainnya. Karena lingkungan geografis negara, pengetahuan akan bahasa Prancis (bahasa resmi di sebagian besar Afrika Barat) relatif tersebar luas.",Apa bahasa resmi Republik Gambia?,Inggris,7
Papua Nugini,"Daratan utama negara ini adalah paro timur Pulau Papua, di mana kota-kota terbesar ada di sana, termasuk di antaranya ibukota Port Moresby dan Lae; pulau-pulau utama lainnya adalah Irlandia Baru, Britania Baru, Manus, dan Bougainville.",Apakah ibukota Papua Nugini?,Port Moresby,126
Kabupaten Manokwari,"Manokwari adalah kabupaten dan ibu kota Provinsi Papua Barat, Indonesia. Manokwari juga menjadi ibukota Kabupaten Manokwari. Kabupaten ini memiliki luas wilayah 1.556,94 km² dan berpenduduk sebanyak kurang lebih 201.218 jiwa (2015).",berapakah luas Manokwari?,"1.556,94 km²",161
Jacques Lacan,"Jacques Lacan lahir di Prancis pada 13 April 1901 dari orang tua bernama Alfred dan Emilee Baudry Lacan, pasangan dari kelas borjuis.[1][2] Lacan dididik secara Yesuit dan bersekolah di sekolah bergengsi, Kolese Stanislas, di Paris.[1] Setelah menyelesaikan kuliahnya di bidang farmasi, ia belajar di bawah bimbingan Gaetan Gatian de Clerambault dalam bidang Psikiatri, khusunya mental automatism yang di kemudian hari disebut oleh Lacan sebagai satu-satunya pakar psikiatri.[1] Pada tahun 1928-1929, Lacan belajar di Infirmerie Speciale pres de la Prefercture de Police dan menerima gelar diploma dalam bidang medis, seletah ia bekerja di Rumah Sakit Henri Rouselle dari 1929-1931.[1] Kemudian pada tahun 1932, setelah dua tahun di klinik Santa Anna, Lacan menerima gelar doktoral dalam bidang psikiatri.[1] Tesisnya berjudul De la psychose paranoïaque dans ses rapports aves la personalité.[1] Pada tahun 1933 Lacan menerbitkan sebuah artikel dalam jurnal surealisme Le minotaure, bahkan ia menerbitkan sebuah puisi yang benar-benar bergaya surealis dan imaginer.[1]",siapakah orang tua Jacques Lacan?,Alfred dan Emilee Baudry Lacan,73
Agama di Israel," Agama di Israel memainkan peran penting dalam membentuk budaya dan gaya hidup Israel, dan Israel adalah satu-satunya negara di dunia yang mayoritas penduduknya adalah orang Yahudi. Pada tahun 2005, 76.2% menganut agama Yahudi, 16.1% Muslim, 2.1% Kristen dan 1.6% Druze, dengan 4.0% sisanya merupakan kepercayaan lain.[1]",apakah agama mayoritas di Israel?,Yahudi,220
SimSimi," Di Indonesia, SimSimi yang diluncurkan Januari 2011 ini dikembangkan oleh SimSimi Indonesia/PT Aladin [2]. Perkembangan SimSimi di Indonesia memang sedang dikhususkan. Tampilannya memang cukup berbeda dari halaman aslinya dan percakapan yang terjadi di laman Indonesia bisa disebut lebih luwes jika dibandingkan dengan laman yang dikelola oleh ISMaker di Korea Selatan. Pihak pengembang juga akan lebih mengembangkan lagi aplikasi simSimi ini agar bisa digunakan tidak hanya pada smartphone, tetapi pada ponsel yang biasa saja tetap bisa digunakan. Pengembang akan membuat serta mengakomodasi kebutuhan pengguna agar bisa mengobrol dengan Simi melalui SMS.",Siapakah yang mengembangkan aplikasi SimSimi?,SimSimi Indonesia/PT Aladin,75
Tionghoa-Indonesia,"Beberapa catatan tertua ditulis oleh para agamawan, seperti Fa Hien pada abad ke-4 dan I Ching pada abad ke-7. Fa Hien melaporkan suatu kerajaan di Jawa (""To lo mo"") dan I Ching ingin datang ke India untuk mempelajari agama Buddha dan singgah dulu di Nusantara untuk belajar bahasa Sanskerta. Di Jawa ia berguru pada seseorang bernama Jñânabhadra.",Kapan etnis Tionghoa  pertama kali masuk ke Indonesia ?,abad ke-7,100
Orang Minangkabau,"Minangkabau atau disingkat Minang merujuk pada entitas kultural dan geografis yang ditandai dengan penggunaan bahasa, adat yang menganut sistem kekerabatan matrilineal, dan identitas agama Islam. Secara geografis, Minangkabau meliputi daratan Sumatera Barat, separuh daratan Riau, bagian utara Bengkulu, bagian barat Jambi, pantai barat Sumatera Utara, barat daya Aceh, dan Negeri Sembilan di Malaysia.[2] Dalam percakapan awam, orang Minang seringkali disamakan sebagai orang Padang, merujuk pada nama ibu kota provinsi Sumatera Barat Kota Padang. Namun, mereka biasanya akan menyebut kelompoknya dengan sebutan urang awak, bermaksud sama dengan orang Minang itu sendiri.[3]",dimanakah letak Minangkabau ?,Sumatera Barat,243
Sejarah Internet,"Internet merupakan jaringan komputer yang dibentuk oleh Departemen Pertahanan Amerika Serikat pada tahun 1969, melalui proyek lembaga ARPA yang mengembangkan jaringan yang dinamakan ARPANET (Advanced Research Project Agency Network), di mana mereka mendemonstrasikan bagaimana dengan hardware dan software komputer yang berbasis UNIX.",kapankah internet di ciptakan?,1969,105
János Kádár,"János Kádár (//; Hungarian:[ˈjaːnoʃ ˈkaːdaːr]; 26 Mei 1912 – 6 Juli 1989) adalah Pemimpin Republik Rakyat Hongaria dan Sekretaris Jenderal Partai Buruh Sosialis Hongaria, yang memimpin negara dari tahun 1956 sampai ia mengundurkan diri pada tahun 1988. Ia menjabat selama 32 tahun. Karena usia, penurunan kondisi kesehatan, dan menurunnya kemampuan politik, Kádár pensiun sebagai Sekretaris Jenderal pada tahun 1988, dan generasi muda yang sebagian besar terdiri dari kaum reformis mengambil alih kepemimpinan.",Berapa lama János Kádár memimpin Hongaria?,32 tahun,272
Stand Up Indo,"Komunitas Stand Up Comedy Indonesia, selanjutnya dikenal dengan nama Stand Up Indonesia atau Stand Up Indo lebih singkatnya, adalah komunitas yang dibentuk untuk mengumpulkan orang-orang yang tertarik dan sama-sama ingin belajar tentang stand up comedy, yang pada dasarnya mengumpulkan bakat-bakat para pelawak tunggal atau komika di seluruh Indonesia. Komunitas ini didirikan mengingat sedang berkembangnya komedi tunggal atau stand up comedy di Indonesia. Komunitas ini bertujuan untuk menjadikan anggotanya menjadi seorang stand up comedian atau komika yang matang dan siap tampil di berbagai acara baik formal maupun non-formal, hingga acara hiburan maupun kompetisi baik on air (tayang di televisi) maupun off air seiring juga mengembangkan karier komika yang bersangkutan. Komunitas ini didirikan oleh lima tokoh yang berpengaruh dalam perkembangan stand up comedy di Indonesia, yaitu Ernest Prakasa, Ryan Adriandhy, Raditya Dika, Pandji Pragiwaksono, dan Isman H. Suryaman.[1]",siapakah pendiri Stand up Indonesia?,"Ernest Prakasa, Ryan Adriandhy, Raditya Dika, Pandji Pragiwaksono, dan Isman H. Suryaman",891
Adam Willard,"Willard pertama kali tergabung dengan band rock asal San Diego, California Rocket from the Crypt pada tahun 1990, setelah drummer awal mereka, Sean, pindah dari kota tersebut.[1] Pada sebuah wawancara tahun 2006, Willard bercerita tentang pengalamannya bersama Rocket from the Crypt:",Apakah genre musik Adam David Willard ?,rock,43
Perubahan wujud zat,Peristiwa perubahan wujud dari padat menjadi gas. Dalam peristiwa ini zat memerlukan energi panas. Contoh menyublim yaitu pada kapur barus (kamper) yang disimpan pada lemari pakaian lama-lama akan habis.,Apakah  peristiwa perubahan wujud dari zat padat menjadi gas?,menyublim,106
Daftar ibu kota di Malaysia,"Ibu kota Malaysia ialah Kuala Lumpur. Kota ini menjadi pusat utama bagi kegiatan kebudayaan, bisnis serta keuangan di Malaysia. Parlemen Malaysia serta kediaman resmi Yang di-Pertuan Agong juga terletak di Kuala Lumpur. Pada tahun 2001, pusat pemerintahan persekutuan Malaysia dipindahkan dari Kuala Lumpur ke kota baru Putrajaya yang terkadang disebut sebagai ibu kota persekutuan. Kedua kota tersebut, bersama Labuan, mempunyai status Wilayah Persekutuan Malaysia.",Apa nama Ibukota negara Malaysia ?,Kuala Lumpur,24
Tunik," Asal usul tunik adalah pakaian yang disebut tunica. Pakaian ini dikenakan orang Yunani Kuno, Romawi Kuno, dan Kekaisaran Romawi Timur. Di Romawi Kuno, tunik adalah pakaian pria dan anak laki-laki. Pria muda dan prajurit mengenakan tunik berwarna putih yang panjangnya hanya sampai di atas lutut. Laki-laki berumur, bangsawan, dan hakim mengenakan tunik hingga sampai di pergelangan kaki. Di atas tunik dikenakan toga. Rakyat biasa mengenakan tunik yang dibuat dari kain wol berwarna putih. Tidak ada seorang pun dari kalangan rakyat biasa yang diizinkan mengenakan tunik berwarna ungu. Peraturan ini dijalankan dengan ketat. Warna ungu adalah warna kaisar.[1]",Dari manakah asal Stola ?,"Yunani Kuno, Romawi Kuno, dan Kekaisaran Romawi Timur",81
Pertempuran Bud Dajo Pertama,"  Pada 2 Maret 1906, Wood memerintahkan Kolonel J.W. Duncan dari 6th Infantry Regiment (United States) (ditempatkan di Zamboanga, ibukota provinsi) untuk memimpin ekspedisi melawan Bud Dajo. Duncan dan Perusahaan K dan M mengambil transportasi Wright ke Jolo.[9]Gubernur Scott mengirim tiga datu ramah ke atas gunung untuk meminta Bud Dajo Moros untuk melucuti senjata dan membubarkan diri, atau setidaknya mengirim perempuan dan anak-anak mereka ke lembah.[8]Mereka menolak permintaan ini, dan Scott memerintahkan Duncan untuk memulai serangan.",Kapan Pertempuran Pertama Bud Dajo dimulai?,2 Maret 1906,7
Korea Utara,"Republik Rakyat Demokratik Korea (RRDK), Korea Utara atau Korut saja (Hangul: 조선민주주의인민공화국, Hanja: 朝鮮民主主義人民共和國, Chosŏn Minjujuŭi Inmin Konghwaguk, English: Democratic People's Republic of (North) Korea (DPRK)) adalah sebuah negara di Asia Timur, yang meliputi sebagian utara Semenanjung Korea. Ibu kota dan kota terbesarnya adalah Pyongyang. Zona Demiliterisasi Korea menjadi batas antara Korea Utara dan Korea Selatan. Sungai Amnok dan Sungai Tumen membentuk perbatasan antara Korea Utara dan Republik Rakyat Tiongkok. Sebagian dari Sungai Tumen di timur laut merupakan perbatasan dengan Rusia. Penduduk setempat menyebut negara ini Pukchosŏn (북조선, ""Chosŏn Utara"").",apakah nama ibukota Korea utara?,Pyongyang,330
Atom,"Atom adalah suatu satuan dasar materi, yang terdiri atas inti atom serta awan elektron bermuatan negatif yang mengelilinginya. Inti atom terdiri atas proton yang bermuatan positif, dan neutron yang bermuatan netral (kecuali pada inti atom Hidrogen-1, yang tidak memiliki neutron). Elektron-elektron pada sebuah atom terikat pada inti atom oleh gaya elektromagnetik. Sekumpulan atom demikian pula dapat berikatan satu sama lainnya, dan membentuk sebuah molekul. Atom yang mengandung jumlah proton dan elektron yang sama bersifat netral, sedangkan yang mengandung jumlah proton dan elektron yang berbeda bersifat positif atau negatif dan disebut sebagai ion. Atom dikelompokkan berdasarkan jumlah proton dan neutron yang terdapat pada inti atom tersebut. Jumlah proton pada atom menentukan unsur kimia atom tersebut, dan jumlah neutron menentukan isotop unsur tersebut.",apa yang dimaksud dengan atom?,"satuan dasar materi, yang terdiri atas inti atom serta awan elektron bermuatan negatif yang mengelilinginya",18
Telepon,"1871, Antonio Meucci mematenkan penemuannya yang disebut sound Telegraph. Penemuannya ini memungkinkan adanya komunikasi dalam bentuk suara antara dua orang dengan menggunakan perantara kabel. 1875, perusahaan telekomunikasi The Bell mendapatkan hak paten atas penemuan Meucci yang disebut transmitters and Receivers for Electric Telegraphs. Sistem ini menggunakan getaran multiple baja untuk memberikan jeda pada sirkuit. 1876, perusahaan Bell mematenkan Improvement in Telegraphy. Sistem ini memberikan metode untuk mentransmisikan suara secara telegraf.[1] 1877, The Charles Williams Shop merupakan tempat di mana telepon pertama kali dibuat dengan pengawasan Watson, yang selanjutnya menjadi departemen riset dan pengembangan dari perusahaan telekomunikasi tersebut. Alexander Graham Bell terus memantau produktivitas perusahaan tersebut sehingga pada akhir tahun sebanyak tiga ratus telepon dapat digunakan. Perusahaan Bell juga dtelah mematenkan telepon electro-magnetic yang menggunakan magnet permanen, diafragma besi, dan dering panggilan. 1878, papan pengganti secara manual ditemukan sehingga memungkinkan banyak telepon terhubung melalui sebuah saluran pertukaran di bawah kepemimpinan Theodore N. Vail, perusahaan Bell mempunyai 10.000 telepon yang dapat digunakan. 1880, sirkuit metalic pertama dipasang. Sirkuit ini merupakan perbaharuan dari sirkuit one-wire menjadi two-wire. Perbaharuan ini membantu mengurangi gangguan yang seringkali dirasakan dengan penggunaan jalur one-wire. 1891, telepon dengan nomor dial pertama kali digunakan. Telepon akan bekerja secara otomatis menghubungkan penelepon ke operator dengan cara menekan nomor dial berdasarkan instruksi. 1915, telepon dengan sistem wireless pertama kali digunakan. Sistem ini memudahkan pengguna telepon untuk saling berhubungan lintas negara.",Kapan Telepon pertama diciptakan?,1877,560
Parkour,"Ditemukan oleh David Belle[4] di Perancis, ""Parkour"" bertujuan untuk melatih efisiensi gerakan untuk membentuk badan dan pikiran seseorang untuk dapat menghadapi rintangan-rintangan dalam kondisi bahaya.",darimanakah olahraga Parkour berasal?,Perancis,33
Petualangan Tintin,"Petualangan Tintin ([Les Aventures de Tintin et Milou]error: {{lang-xx}}: text has italic markup (help)) adalah serial komik yang diciptakan oleh Hergé, seorang artis dari Belgia. Hergé adalah pseudonim dari Georges Remi (1907–1983) yang dituliskan menjadi RG (dibaca sebagai Hergé dalam bahasa Perancis). Serial ini pertama kali muncul dalam bahasa Perancis sebagai lampiran bagian anak-anak dari koran Belgia, [Le Vingtième Siècle]error: {{lang}}: text has italic markup (help) pada tanggal 10 Januari 1929. Petualangan Tintin sendiri menampilkan beberapa pemain yang saling melengkapi satu sama lainnya. Dari tahun ke tahun, serial ini menjadi bacaan favorit dan bahan kritikan dari para kritikus selama lebih dari 70 tahun.",Kapan Petualangan Tintin diterbitkan pertama kali ?,10 Januari 1929,493
Braille,"Demi menyesuaikan kebutuhan para tunanetra, Louis Braille mengadakan uji coba garis dan titik timbul Barbier kepada beberapa kawan tunanetra. Pada kenyataannya, jari-jari tangan mereka lebih peka terhadap titik dibandingkan garis sehingga pada akhirnya huruf-huruf Braille hanya menggunakan kombinasi antara titik dan ruang kosong atau spasi. Sistem tulisan Braille pertama kali digunakan di L’Institution Nationale des Jeunes Aveugles, Paris, dalam rangka mengajar siswa-siswa tunanetra.",Apakah nama huruf yang digunakan oleh para tunanetra ?,Braille,358
Toyota, Toyota Motor Corporation didirikan pada September 1933 sebagai divisi mobil Pabrik Tenun Otomatis Toyoda. Divisi mobil perusahaan tersebut kemudian dipisahkan pada 27 Agustus 1937 untuk menciptakan Toyota Motor Corporation seperti saat ini.,Kapan Toyota Motor Corporation didirikan?,September 1933,41
Robert Johnson,"Robert Johnson meninggal pada tanggal 16 Agustus 1938 di umur 27 tahun di daerah Greenwood, Mississipi dengan penyebab-penyebab yang belum diketahui. Sudah ada penjelasan dari segelintir laporan yang saling berlainan mengenai kejadian naas tersebut. Menjelang kematiannya, ia terus menjalani kegiatannya sebagai pemusik jalanan selama seminggu di salah satu tempat dansa yang berjarak sekitar 15 miles (24km) dari wilayah Greenwood. Menurut suatu teori, ia telah dibunuh oleh seorang suami yang cemburu karena Johnson tampak tertarik kepada istrinya. Berdasarkan laporan dari salah satu legenda musik blues Sonny Boy Williamson, ia tertarik pada seorang wanita yang telah menikah di suatu tempat dansa yang saat itu memberi sebotol wiski ""beracun"" untuk Johnson yang botol itu bermula dari suaminya. Ketika Johnson hendak mengambil botol itu, ada seseorang bernama Williamson yang sempat mau menyingkirkan botol itu dari tangan Johnson lalu mengingatkannya agar jangan pernah meminum botol beracun itu yang belum sempat dibuka olehnya sendiri. Johnson pun membalas perkataan tersebut dengan melarang Williamson untuk menyingkirkan botol itu dari tangannya. Segera pada hari berikutnya, lagi-lagi Johnson ditawari dengan sebuah botol beracun lain dan ia menerimanya. Muncul laporan bahwa Johnson mulai merasa tak enak badan lalu ia dibantu untuk dibawa ke kamarnya saat dini hari. Sampai tiga hari kemudian, keadaannya terus memburuk dan salah seorang saksi berkata bahwa ia sudah tak bernyawa dalam keadaan kejang karena sakit parah. Seorang ahli pengetahuan musik Mack McCormick telah mengklaim bahwa ia telah berhasil mencari dan menangkap seorang pelaku pembunuh Johnson serta telah memeroleh kesaksian dari pelaku melalui percakapan pribadi antara mereka berdua, tetapi si pelaku menolak memberitahukan nama aslinya.[12]",Kapan Robert Leroy Johnson meninggal ?,16 Agustus 1938,38
Taylor Swift,"Taylor Alison Swift (lahir 13 Desember 1989) adalah seorang penyanyi dan penulis lagu berkebangsaan Amerika Serikat. Dibesarkan di Pennslyvania, dia pindah ke Nashville, Tennessee pada usia 14 tahun untuk mengejar karier di musik country. Dia menandatangani kontrak dengan label independen Big Machine Records dan menjadi penulis lagu termuda yang pernah dipekerjakan oleh Sony/ATV Music publishing house. Album debut yang berjudul sama seperti namanya pada tahun 2006 berada dinomor lima di Billboard 200. Single ketiga album, ""Our Song"", menjadikannya sebagai orang termuda yang sendirian menulis dan membawakan sebuah lagu nomor satu di tangga lagu Hot Country Songs. Album kedua Swift, Fearless, dirilis pada tahun 2008. Didukung oleh keberhasilan single ""Love Story"" dan ""You Belong with Me"", Fearless menjadi album terlaris tahun 2009 di Amerika Serikat. Album ini memenangkan empat Grammy Awards, membuat Swift menjadi pemenang termuda Album of the Year dan dikabarkan dekat dengan salman al farisy di indonesia .",Dimana Taylor Swift dibesarkan?,Pennslyvania,131
Mesir,"Dengan luas wilayah sekitar 997.739km² Mesir mencakup Semenanjung Sinai (dianggap sebagai bagian dari Asia Barat Daya) sedangkan sebagian besar wilayahnya terletak di Afrika Utara. Mesir berbatasan dengan Libya di sebelah barat, Sudan di selatan, jalur Gaza dan Israel di utara-timur. Perbatasannya dengan perairan ialah melalui Laut Tengah di utara dan Laut Merah di timur.",berapakah luas ibukota Mesir ?,997.739km²,28
Shekel baru Israel,"Shekel baru Israel (Hebrew: שקל חדש‎, Shekel Ḥadash) (tanda: ₪; akronim: ש״ח, kode: ILS) (juga dieja sheqel; pl. shekalim pelafalan shkalim - שקלים, Arab: شيقل جديد, shiqel jadid atau شيكل جديد shikel jadid) adalah mata uang negara Israel. Shekel terbagi menjadi 100 agorot (אגורות) (sing. agora, Ibrani: אגורה).",Apakah mata uang Israel ?,Shekel,0
Termodinamika,"   Termodinamika (bahasa Yunani: thermos = 'panas' and dynamic = 'perubahan') adalah fisika energi , panas, kerja, entropi dan kespontanan proses. Termodinamika berhubungan dekat dengan mekanika statistik di mana hubungan termodinamika berasal.",apa yang dimaksud dengan zeroth Termodinamika?,"fisika energi , panas, kerja, entropi dan kespontanan proses",85
Pandawa," Pandawa  merupakan istilah dalam bahasa Sanskerta, yang secara harfiah berarti anak Pandu, yaitu seorang Raja Hastinapura dalam wiracarita Mahabharata. Para Pandawa terdiri dari lima orang: Yudistira, Bima, Arjuna, Nakula dan Sadewa. Mereka adalah tokoh protagonis dalam Mahabharata, sedangkan yang antagonis adalah para Korawa, yaitu para putra Dretarastra, saudara Pandu. Dalam Mahabharata, kelima Pandawa menikah dengan Dropadi yang diperebutkan dalam sebuah sayembara di Kerajaan Panchala, dan masing-masing anggota Pandawa memiliki seorang putra darinya.",Siapakah Pandawa dalam Pandawa?,anak Pandu,80
David Brinkley,"David McClure Brinkley () adalah pembawa berita di jaringan televisi NBC dan ABC Amerika Serikat dari tahun 1951 hingga 1997. Pengalaman di dunia penyiaran dirangkumnya dalam memoar berjudul 11 Presiden, 4 Perang, 22 Konvensi Politik, 1 Pendaratan di Bulan, 3 Pembunuhan, 2,000 Minggu Berita di Televisi, 18 Tahun Dibesarkan di North Carolina.",Kapan David McClure Brinkley mulai menjadi pembawa berita ?,1951,108
Kadmium,"Bentuk paparan kerja paling berbahaya terhadap kadmium adalah menghirup debu halus dan asap, atau menelan senyawa kadmium yang sangat mudah larut.[1] Menghirup asap yang mengandung kadmium dapat mengakibatkan demam asam logam pada awalnya, namun mungkin berlanjut ke penyakit pneumonitis kimia, edema paru-paru, dan kematian.[54]",Apa nama unsur kimia paling berbahaya bagi tubuh manusia ?,kadmium,47
Microsoft,"Microsoft Corporation (NASDAQ:) adalah sebuah perusahaan multinasional Amerika Serikat yang berkantor pusat di Redmond, Washington, Amerika Serikat yang mengembangkan, membuat, memberi lisensi, dan mendukung beragam produk dan jasa terkait dengan komputer. Perusahaan ini didirikan oleh Bill Gates dan Paul Allen pada tanggal 4 April 1975. Microsoft merupakan pembuat perangkat lunak terbesar di dunia menurut pendapatannya.[3] Microsoft juga merupakan salah satu perusahaan paling bernilai di dunia.[4]",dimanakah microsoft didirikan?,"Redmond, Washington, Amerika Serikat",111
Rubel Belarusia,"Rubel Belarusia atau rouble (Belarusian: рубель rubieĺ, jamak: рублі rubli, jamak genitif: рублёў rublioŭ) adalah mata uang resmi Belarus. Rubel tersebut terbagi dalam 100 kopek (Belarusian: капейка kapiejka, jamak: капейкі kapiejki, jamak genitif: капеек kapiejek). Simbol untuk rubel tersebut adalah Br  dan kode ISO 4217-nya adalah BYN.",apakah nama mata uang Belarus ?,Rubel Belarusia,0
Pertempuran Laut Karang,"Tidak lama setelah perang berlangsung, Staf Umum Angkatan Laut mengeluarkan rekomendasi untuk menginvasi Australia sebagai tindakan pencegahan agar Australia tidak dipakai sebagai pangkalan militer yang mengancam pertahanan garis luar Jepang di Pasifik Selatan. Namun rekomendasi ini ditolak Angkatan Darat Kekaisaran Jepang yang mengemukakan alasan bahwa Jepang tidak memiliki kapasitas kapal dan kekuatan militer yang cukup. Pada saat yang bersamaan, komandan Armada IV Angkatan Laut Jepang Laksamana Madya Shigeyoshi Inoue mengusulkan pendudukan Tulagi yang berada di tenggara Kepulauan Solomon dan Port Moresby di Papua Nugini. Usulannya membuat bagian utara Australia berada dalam jangkauan pesawat-pesawat terbang Jepang yang berpangkalan di darat. Sebagai pimpinan Armada IV yang juga disebut Armada Laut Selatan, Inoue membawahi unit-unit angkatan laut di kawasan Pasifik Selatan. Ia percaya bahwa pendudukan dan penguasaan lokasi-lokasi tersebut akan menjamin keamanan dan pertahanan bagi pangkalan utama Jepang di Rabaul, Britania Baru. Staf Umum Angkatan Laut dan Angkatan Darat Kekaisaran Jepang menerima proposal Inoue dan merencanakan operasi-operasi lanjutan. Dalam operasi lanjutan, lokasi-lokasi yang diusulkan Inoue akan dijadikan pangkalan militer pendukung dalam usaha berikutnya merebut Kaledonia Baru, Fiji, dan Samoa yang bila berhasil akan memutuskan jalur komunikasi dan perbekalan antara Australia dan Amerika Serikat.[9]",Siapakah pemimpin perang Jepang saat Invasi Tulagi ?,komandan Armada IV Angkatan Laut Jepang Laksamana Madya Shigeyoshi Inoue,453
Mikrofilm,"J. B. Dancer adalah seorang ilmuwan Inggris yang pertama kali membuat mikrofotograf dan membuat proses pemikrofilman. Ia dijuluki The Father of Microphotography – bapak mikrofotografi. Ia lahir di London pada tahun 1812, anak dari Josiah Dancer yang juga adalah pembuat alat-alat optik, filosofis, dan pelayaran.[3] Pada usia dini ia magang dalam bisnis ayahnya dan baru mengambil alih bisnis tersebut pada tahun 1835. Pada usia muda, Dancer telah memperoleh seni mikroskop dan jenis-jenis lensa. Selama hidupnya ia berkontribusi besar terhadap mikroskopi, fotografi, dan ilmu pengetahuan.",Siapa yang menemukan istilah mikrofotografi?,J. B. Dancer,0
Ashin Jinarakkhita," Bhikkhu Ashin Jinarakkhita, terlahir The Boan An, juga dikenal dengan panggilan Su Kong () merupakan orang Indonesia pertama yang ditahbiskan menjadi bhikkhu setelah 500 tahun runtuhnya kerajaan Majapahit saat ia ditahbiskan pada tahun 1953. Dia merupakan salah satu tokoh yang sangat berpengaruh dalam perkembangan Buddhis di Indonesia modern. Selain mempelajari kimia di Groningen, Belanda dia juga mendalami agama Buddha. Pada Juni 1953 ia ditahbiskan dalam tradisi Mahayana di Jakarta. Pembimbingnya menganjurkan agar ia belajar lebih lanjut di Myanmar, karena itu pada tahun yang sama ia masuk Sasana Yeiktha di Yangon untuk belajar meditasi satipatthana di bawah bimbingan Mahasi Sayadaw. Pada tahun berikutnya ia ditahbiskan menjadi bhikkhu dan mengambil nama Ashin Jinarakkhita. Pada tahun 1955 ia kembali ke Jawa dan dengan kerja keras membangun kembali vihara-vihara dan biara-biara Buddhis.",umur berapakah Bhikkhu Ashin Jinarakkhita diangkat sebagai biksu?,1953,237
